,product_name,ratings,sale_price,actual_price
164,HP 440 G9 BZ NB/Pro-book/i5-1235U/16GB/512GB SSD/FHD/BLK/Win11 Pro/3 Yr Onsite-9S706AT  ,4.0,"75,999","98,999"
165,HP Laptop 14,4.1,"36,890","51,134"
166,ASUS TUF Gaming A15,4.1,"92,990","1,07,990"
167,HP Laptop 15,4.3,"33,990","45,438"
168,ASUS Vivobook 14 Thin and Light Laptop,3.8,"35,990","56,990"
169,Dell Alienware m18 R1,3.6,"4,39,990","5,40,986"
170,Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/512GB SSD/6GB RTX 3050 Graphics/144Hz/Win11Home/Wifi 6) AL15G-52,3.8,"62,990","69,990"
171,Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM,4.0,"75,990","1,03,999"
172,Primebook 4G,4.5,"13,990","24,490"
173,"Chuwi CoreBook X i5 14"" Laptop",3.7,"24,990","34,990"
174,Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM,3.9,"15,990","34,990"
175,HP Pavilion 14 Touchscreen,4.3,"62,490","77,718"
176,Dell G15 5530 Gaming Laptop,4.1,"1,49,990","1,89,990"
177,ASUS VivoBook 15 (2022),4.1,"36,990","39,999"
178,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / Modern 14 C12MO-1022IN Thin and Light Laptop (14 Inch,,"27,990","44,990"
179,ZEBRONICS PRO Series Z NBC 5S,3.7,"37,990","78,999"
180,ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thin and Light Laptop (15.6 Inch,3.3,"38,990","42,999"
181,ASUS TUF Gaming F17,3.7,"50,990","85,990"
182,ASUS TUF Gaming A16 Advantage Edition,3.0,"94,990","2,11,990"
183,HP Victus Gaming Laptop,4.1,"65,990","86,050"
184,"Lenovo Thinkpad P14s 13th Gen Intel Core i7 14"" (35.56 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/512GB SSD/Windows 11 Pro/Backlit/Villi Black/3Y Premier Support/1.34Kg)",4.0,"1,09,990","1,53,000"
185,"(Refurbished) Lenovo Ideapad Slim 3 Intel Core I5 11Th Gen 15.6"" (39.62Cm) Fhd Thin & Light Laptop (8Gb/512Gb Ssd/Windows 11/Office 2021/Fpr/3Months Game Pass/Platinum Grey/1.7Kg)",3.1,"52,600","78,990"
186,"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5700U(16GB DDR4 RAM /512GB M.2 NVMe SSD/Windows 11 + MS Office 21/Backlit KB /15.6"" FHD 300Nits Anti Glare/1Yr ADP Free/Arctic Grey/1.65Kg)",3.7,"42,990","74,090"
187,MSI Thin 15,4.6,"57,990","82,990"
188,"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/NVIDIA RTX 3050 6GB Graphics/Win 11/Non-MSO/3 Mon. Game Pass/Grey/2.4Kg)",3.8,"64,190","93,290"
189,Dell Inspiron 3520 Laptop,3.7,"34,200","51,335"
190,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display",3.9,"26,990","47,990"
191,ASUS Vivobook 16 (2023),3.9,"94,990","1,16,990"
192,HP Laptop 15,4.0,"47,990","67,264"
193,ASUS Vivobook Go 14 (2023),3.7,"21,890","36,990"
194,"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg)",4.7,"36,990","67,690"
195,MSI Katana 17,3.7,"74,990","1,23,990"
